Pointer,SSC,HSC,Technical,Verbal,Aptitude
7.63,75.74,80.0,9.9,5.7,7.8
8.45,95.0,92.61,8.4,6.0,7.2
9.42,78.85,79.27,8.7,6.3,7.5
7.18,75.77,76.94,9.8,7.6,8.7
7.86,93.5,89.88,8.1,5.1,6.6
7.48,91.82,91.65,8.7,8.2,8.4
9.68,82.2,79.53,10.0,5.9,8.0
9.15,94.43,80.37,8.5,5.7,7.1
7.89,93.32,83.45,10.0,6.2,8.1
7.37,81.51,88.81,9.4,7.2,8.3
9.52,86.71,95.97,8.1,7.2,7.6
7.99,77.0,91.21,10.0,6.4,8.2
7.45,95.02,80.72,9.5,4.7,7.1
8.78,83.46,94.76,8.2,5.8,7.0
7.79,94.2,85.35,9.2,7.2,8.2
7.34,98.14,95.93,10.0,6.9,8.4
9.18,80.1,84.61,7.6,5.8,6.7
7.53,78.44,80.0,9.0,6.4,7.7
8.81,99.88,79.72,8.6,6.4,7.5
7.22,81.07,77.45,9.0,7.3,8.2
7.5,76.99,88.47,8.8,6.1,7.4
9.37,98.09,93.11,7.9,5.8,6.8
8.37,83.12,94.19,8.2,4.8,6.5
9.85,83.53,87.83,8.4,7.0,7.7
8.93,92.94,87.66,10.0,4.8,7.4
8.44,78.26,78.34,8.4,6.8,7.6
8.2,95.49,92.29,7.5,7.3,7.4
8.36,87.97,81.09,9.8,6.6,8.2
9.23,81.2,89.0,10.0,6.4,8.2
9.65,76.79,95.1,8.2,6.1,7.2
7.22,81.98,87.36,8.9,6.9,7.9
9.9,99.21,75.57,8.7,6.0,7.4
7.49,97.12,80.66,8.3,6.2,7.2
7.67,80.97,83.94,9.8,8.0,8.9
9.66,84.13,78.12,10.0,7.3,8.6
9.02,88.49,96.78,9.2,5.7,7.4
8.56,84.05,80.89,7.0,6.6,6.8
7.97,82.44,87.77,8.7,7.8,8.2
8.02,94.37,87.23,9.5,7.5,8.5
7.76,98.65,77.73,8.5,7.0,7.8
9.87,88.26,83.5,8.3,7.2,7.8
