Pointer,SSC,HSC,Technical,Verbal,Aptitude
8.22,76.48,70.73,4.5,8.6,6.6
9.31,77.67,73.08,5.8,9.7,7.8
9.29,74.0,71.16,4.1,9.9,7.0
9.5,78.69,76.51,5.1,8.0,6.6
7.81,93.07,88.3,6.2,10.0,8.1
9.83,96.63,70.54,3.7,10.0,6.8
8.83,82.95,92.76,4.0,9.4,6.7
6.55,89.42,80.06,6.7,9.8,8.2
9.7,86.15,96.37,5.0,10.0,7.5
9.96,88.14,85.37,5.3,7.0,6.2
8.52,80.29,92.45,5.2,8.5,6.8
7.88,74.86,90.47,5.7,8.0,6.8
7.35,96.61,95.1,3.9,9.4,6.6
8.68,89.59,91.63,5.2,10.0,7.6
9.08,73.35,91.91,5.7,9.7,7.7
6.66,88.01,86.69,4.3,7.9,6.1
6.57,94.46,80.01,3.8,8.8,6.3
8.87,77.19,95.83,4.1,8.5,6.3
8.34,74.2,77.35,5.8,9.7,7.8
9.72,97.2,78.76,4.7,8.2,6.4
7.2,97.63,80.66,5.1,9.0,7.0
8.19,79.28,75.33,5.0,6.8,5.9
9.06,93.59,96.16,5.6,8.2,6.9
8.34,79.33,77.33,3.7,6.1,4.9
9.09,85.7,77.76,5.8,8.1,7.0
7.45,90.18,80.2,6.6,7.9,7.2
9.55,83.07,71.45,6.5,10.0,8.2
8.62,98.45,72.56,5.8,8.4,7.1
7.85,96.31,95.71,4.5,8.8,6.6
8.93,88.62,92.54,3.3,7.9,5.6
7.19,72.96,75.19,4.2,8.7,6.4
8.63,70.74,87.09,4.0,10.0,7.0
7.05,87.28,77.16,3.7,8.7,6.2
7.54,80.74,77.52,6.2,8.7,7.4
8.29,78.94,93.46,3.6,9.7,6.6
9.37,95.13,87.28,5.4,9.4,7.4
7.98,72.13,77.46,4.9,9.6,7.2
9.8,84.57,85.27,6.1,9.9,8.0
9.7,70.99,86.37,5.7,9.2,7.4
7.35,71.82,87.0,4.5,7.9,6.2
7.08,81.25,81.63,3.1,10.0,6.6
7.0,75.71,71.47,5.2,8.8,7.0
8.95,85.43,80.33,6.6,9.4,8.0
9.5,74.28,87.84,6.8,6.9,6.8
8.33,94.53,91.41,4.3,8.2,6.2
7.07,95.27,92.31,5.0,9.9,7.4
9.64,87.68,83.46,6.5,9.7,8.1
8.74,76.24,85.64,4.5,7.5,6.0
6.8,76.87,91.14,4.9,8.7,6.8
9.33,95.45,86.48,3.1,9.7,6.4
6.6,84.28,74.29,5.5,8.6,7.0
8.54,81.14,88.23,4.9,10.0,7.4
8.69,70.86,90.91,3.4,8.2,5.8
8.41,85.93,78.52,6.3,8.1,7.2
9.22,98.37,98.85,4.5,7.7,6.1
7.35,98.19,97.93,4.3,8.1,6.2
