Pointer,SSC,HSC,Technical,Verbal,Aptitude
8.71,66.29,83.6,4.1,5.7,4.9
7.67,69.27,67.64,4.4,7.0,5.7
8.94,98.09,91.44,3.0,4.6,3.8
8.09,81.26,67.39,3.8,5.4,4.6
8.58,81.27,68.35,4.5,5.9,5.2
6.9,69.2,86.8,3.5,6.4,5.0
7.01,94.61,71.51,3.0,4.2,3.6
8.47,66.1,79.79,5.9,4.3,5.1
9.51,97.74,79.71,4.4,4.9,4.6
6.56,75.5,90.54,4.8,5.2,5.0
8.24,74.21,84.15,3.6,6.0,4.8
7.35,77.99,80.24,5.3,4.5,4.9
8.9,72.28,84.99,5.5,3.8,4.6
9.89,90.4,67.98,1.1,4.2,2.7
9.34,72.63,80.18,3.6,6.5,5.0
7.33,68.9,73.6,3.3,4.9,4.1
7.45,73.91,64.48,2.8,4.3,3.6
8.58,73.48,71.52,4.0,4.8,4.4
9.34,71.84,61.87,1.7,4.7,3.2
8.95,96.53,69.44,4.5,4.9,4.7
7.51,82.5,73.37,1.0,4.7,2.8
6.79,80.1,92.8,2.4,4.2,3.3
7.65,93.64,87.95,4.9,5.3,5.1
9.78,88.13,83.15,3.9,6.8,5.4
6.53,82.14,91.76,2.2,5.1,3.6
9.46,86.83,74.15,2.6,3.7,3.2
9.46,97.96,66.85,8.1,4.9,6.5
8.25,93.7,75.09,2.9,4.5,3.7
9.12,71.05,95.12,4.3,4.8,4.6
9.66,65.43,63.98,4.1,3.8,4.0
6.87,60.71,90.18,2.9,4.4,3.6
6.61,90.75,87.5,2.8,5.2,4.0
9.7,88.7,65.86,1.2,4.5,2.8
9.09,84.1,97.61,2.7,5.7,4.2
9.62,90.17,63.04,4.0,5.0,4.5
6.86,88.57,73.96,4.0,4.1,4.0
7.98,66.28,79.45,4.0,3.9,4.0
9.85,76.13,83.86,6.2,7.0,6.6
9.03,80.63,97.89,1.0,4.7,2.8
6.52,74.41,81.8,3.1,5.2,4.2
6.59,98.89,81.58,2.8,2.9,2.8
7.72,72.83,60.63,2.8,5.2,4.0
7.48,70.83,62.24,3.0,4.8,3.9
9.3,79.3,74.09,2.6,5.6,4.1
8.75,79.65,67.88,6.4,3.6,5.0
9.41,89.72,77.17,7.2,5.7,6.4
7.45,75.28,82.8,2.4,4.9,3.6
9.45,77.97,72.7,5.4,4.9,5.2
9.21,81.15,81.66,1.8,5.0,3.4
8.04,71.16,68.31,1.0,3.8,2.4
7.95,72.05,96.77,4.6,4.7,4.6
7.52,63.08,90.1,3.2,4.2,3.7
8.15,89.08,68.67,4.3,6.5,5.4
8.65,93.68,95.89,2.1,5.0,3.6
8.69,70.95,79.96,4.0,5.5,4.8
8.42,74.32,64.67,5.5,3.9,4.7
8.97,64.65,84.15,5.8,4.4,5.1
9.81,70.84,91.15,7.8,4.6,6.2
7.3,91.0,79.63,4.1,4.7,4.4
7.85,92.72,92.1,4.3,4.5,4.4
8.19,61.32,64.52,6.1,5.6,5.8
9.2,83.08,83.54,3.5,4.9,4.2
9.77,98.9,61.79,3.3,4.3,3.8
8.75,72.78,92.55,6.5,3.8,5.2
8.16,75.61,90.41,6.4,4.8,5.6
7.42,98.95,80.36,1.0,5.7,3.4
9.59,86.2,65.28,3.5,6.1,4.8
8.26,91.92,86.84,5.6,5.9,5.8
9.11,76.88,93.9,5.1,5.8,5.4
9.14,76.16,62.71,5.2,4.7,5.0
8.79,63.99,62.63,2.8,3.4,3.1
6.65,98.59,80.16,6.3,4.3,5.3
6.64,60.34,87.3,3.7,4.9,4.3
6.98,65.37,89.17,2.6,5.6,4.1
9.33,70.0,96.55,4.8,7.7,6.2
6.66,95.98,76.42,1.3,6.4,3.8
8.14,94.26,71.62,4.7,3.9,4.3
7.27,98.08,92.17,3.7,4.4,4.1
7.25,79.38,63.2,7.4,4.1,5.8
9.38,96.85,74.84,3.0,3.2,3.1
9.84,67.61,73.73,4.6,3.7,4.2
7.0,74.59,90.69,3.6,3.9,3.8
9.04,98.18,96.47,3.8,4.5,4.2
7.4,70.79,69.23,3.4,4.4,3.9
8.73,73.45,75.84,2.2,4.8,3.5
9.07,93.9,79.54,1.7,6.0,3.8
7.49,87.28,63.84,2.8,6.2,4.5
8.31,92.11,88.3,5.8,4.6,5.2
9.93,81.67,79.55,4.7,5.8,5.2
6.98,62.54,81.57,4.4,3.5,4.0
8.6,71.15,89.91,2.8,4.5,3.6
6.88,79.86,90.38,2.2,6.2,4.2
9.96,66.49,94.48,5.0,5.5,5.2
6.88,73.06,72.12,5.1,5.1,5.1
8.88,66.59,79.45,6.4,4.4,5.4
8.27,61.3,67.96,5.3,3.0,4.2
7.74,75.98,76.43,1.9,4.8,3.4
9.83,60.7,96.43,4.3,5.1,4.7
7.39,83.89,76.53,2.8,6.2,4.5
7.55,96.38,79.65,5.1,5.6,5.4
6.63,78.92,66.49,4.0,6.6,5.3
9.17,69.77,61.55,6.8,4.8,5.8
8.9,61.97,61.83,4.4,7.1,5.8
9.3,61.39,64.97,2.2,5.2,3.7
9.66,60.4,91.8,2.2,3.7,3.0
8.3,69.2,83.34,3.9,3.9,3.9
9.98,79.76,61.82,5.4,4.7,5.1
9.87,92.26,65.59,6.9,6.0,6.4
9.84,76.46,68.68,2.6,3.6,3.1
8.04,84.06,64.52,5.1,6.0,5.6
8.61,98.85,77.8,5.4,2.5,4.0
8.6,78.3,64.98,1.4,5.1,3.2
7.88,69.8,65.83,4.4,5.3,4.8
7.6,77.84,85.83,2.0,4.5,3.2
8.08,98.42,87.03,2.2,5.1,3.6
7.5,95.38,93.59,4.3,4.9,4.6
7.14,85.37,74.76,2.5,4.4,3.4
6.93,94.89,83.05,1.9,4.8,3.4
9.73,74.63,77.41,2.3,5.5,3.9
7.01,93.4,62.05,4.3,5.3,4.8
6.79,87.9,94.43,4.4,6.5,5.4
6.73,89.61,92.29,5.3,4.1,4.7
8.58,73.78,66.28,2.8,5.4,4.1
9.87,78.73,61.53,2.7,4.9,3.8
9.49,92.02,92.74,2.3,4.6,3.4
7.14,67.54,83.28,1.6,3.9,2.8
7.98,78.38,82.57,4.4,5.5,5.0
8.07,85.73,65.29,4.6,5.0,4.8
7.59,81.81,98.17,5.1,6.7,5.9
9.76,86.1,63.17,5.0,3.7,4.4
10.0,93.07,62.79,5.3,4.6,4.9
7.93,97.09,95.26,2.6,5.3,4.0
8.57,60.62,85.94,6.2,3.7,5.0
8.25,66.66,70.65,4.6,3.7,4.2
7.41,65.75,82.07,2.8,5.5,4.2
8.81,60.14,73.74,3.7,2.8,3.2
9.11,61.73,95.63,5.5,4.5,5.0
6.87,64.04,76.82,5.6,4.5,5.0
6.5,83.0,98.98,1.0,3.2,2.1
6.71,68.22,82.38,4.0,5.1,4.6
8.62,92.69,69.33,1.8,4.0,2.9
6.62,68.52,77.92,4.3,4.3,4.3
7.76,92.83,62.17,2.0,4.2,3.1
7.72,85.78,63.7,2.4,3.0,2.7
7.1,80.21,94.45,4.6,6.5,5.6
9.85,97.95,90.77,4.8,6.6,5.7
8.21,83.2,60.49,5.1,4.8,4.9
8.19,90.58,71.09,4.5,6.4,5.4
8.14,77.06,77.11,4.0,5.5,4.8
9.79,71.75,93.48,3.6,5.5,4.6
9.29,80.83,81.76,2.6,4.0,3.3
6.71,87.08,60.49,3.0,5.7,4.4
6.62,81.36,66.91,3.0,5.5,4.2
9.63,81.35,69.84,6.3,5.1,5.7
8.86,77.65,68.43,3.9,6.6,5.2
9.52,91.27,74.3,4.5,4.6,4.6
7.41,64.24,88.3,1.8,6.4,4.1
8.01,72.85,64.48,2.8,4.4,3.6
8.52,97.93,78.82,1.0,5.4,3.2
8.78,79.47,96.46,2.8,4.0,3.4
9.1,88.68,68.75,6.2,5.8,6.0
8.43,93.84,67.79,4.5,4.3,4.4
9.62,96.27,77.8,4.3,2.6,3.4
7.22,74.54,89.88,4.3,6.0,5.2
9.88,87.88,91.67,4.8,6.6,5.7
